Date,Open,High,Low,Close,Volume,Change
01-18-2019,1282.60,1291.90,1292.20,1280.10,225.57K,-0.75%
01-17-2019,1292.30,1293.90,1295.00,1288.30,191.98K,-0.12%
01-16-2019,1293.80,1289.60,1295.40,1287.60,181.39K,+0.42%
01-15-2019,1288.40,1292.40,1294.80,1286.50,242.07K,-0.22%
01-14-2019,1291.30,1288.00,1296.60,1287.70,221.89K,+0.14%
01-11-2019,1289.50,1287.60,1295.70,1287.00,210.64K,+0.16%
01-10-2019,1287.40,1294.70,1298.00,1286.70,239.92K,-0.36%
01-09-2019,1292.00,1286.10,1295.00,1280.90,245.97K,+0.47%
01-08-2019,1285.90,1289.90,1291.40,1280.20,221.92K,-0.31%
01-07-2019,1289.90,1287.00,1297.00,1284.10,204.68K,+0.32%
01-04-2019,1285.80,1296.50,1300.40,1278.10,316.06K,-0.70%
01-03-2019,1294.80,1288.50,1296.90,1286.40,244.54K,+0.83%
01-02-2019,1284.10,1285.00,1291.00,1280.60,235.33K,+0.22%
12-31-2018,1281.30,1283.00,1286.50,1279.70,113.26K,-0.13%
12-28-2018,1283.00,1278.00,1284.70,1276.50,162.73K,+0.44%
12-27-2018,1277.40,1265.30,1277.50,1265.30,0.48K,+0.66%
12-26-2018,1269.00,1268.50,1278.10,1263.80,0.40K,+0.09%
12-24-2018,1267.90,1258.40,1269.60,1258.20,0.74K,+1.06%
12-21-2018,1254.60,1260.60,1262.00,1254.20,0.66K,-0.74%
12-20-2018,1263.90,1244.30,1265.70,1242.30,0.77K,+0.90%
12-19-2018,1252.60,1250.00,1258.20,1241.60,0.60K,+0.20%
12-18-2018,1250.10,1246.30,1250.40,1246.10,0.23K,+0.15%
12-17-2018,1248.20,1236.30,1248.30,1236.30,0.24K,+0.83%
12-14-2018,1237.90,1242.30,1243.20,1233.10,0.38K,-0.47%
12-13-2018,1243.70,1245.50,1247.50,1241.20,0.33K,-0.19%
12-12-2018,1246.10,1244.90,1247.50,1243.70,0.43K,+0.27%
12-11-2018,1242.80,1245.70,1250.50,1242.30,0.50K,-0.17%
12-10-2018,1244.90,1251.40,1251.80,1242.60,1.59K,-0.26%
12-07-2018,1248.20,1239.10,1251.40,1239.10,1.56K,+0.69%
12-06-2018,1239.70,1240.60,1246.10,1236.90,1.64K,+0.05%
